"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestResources_UpdateSavedQuery_AdminPublicQuery_Success","3","TestResources_UpdateSavedQuery_AdminPublicQuery_Success","","Tue Jul 14 00:55:03 UTC 2026","passed","Tue Jul 14 00:55:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_AdminPublicQuery_Success","TestResources_UpdateSavedQuery_AdminPublicQuery_Success"
"","569","should reject passwords with no special characters","CreateUserForm","Tue Jul 14 00:56:47 UTC 2026","passed","Tue Jul 14 00:56:47 UTC 2026","","","",""
"Test cases for TestTextUnmarshalInt","0","TestTextUnmarshalInt","","Tue Jul 14 00:55:07 UTC 2026","passed","Tue Jul 14 00:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTextUnmarshalInt","TestTextUnmarshalInt"
"","603","displays current password error messages when current password is empty","PasswordDialog","Tue Jul 14 00:56:50 UTC 2026","passed","Tue Jul 14 00:56:50 UTC 2026","","","",""
"Test cases for TestError","0","TestError","","Tue Jul 14 00:54:52 UTC 2026","passed","Tue Jul 14 00:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestError","TestError"
"Test cases for TestTagScanner_NextTopLevelTag","1","TestTagScanner_NextTopLevelTag","","Tue Jul 14 00:55:16 UTC 2026","passed","Tue Jul 14 00:55:16 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/TestTagScanner_NextTopLevelTag","TestTagScanner_NextTopLevelTag"
"","150","should call onCancel when return to login button clicked","PasswordResetForm","Tue Jul 14 00:59:11 UTC 2026","passed","Tue Jul 14 00:59:11 UTC 2026","","","",""
"Test cases for TestManagementResource_OIDCCallbackHandler","15","TestManagementResource_OIDCCallbackHandler","","Tue Jul 14 00:55:51 UTC 2026","passed","Tue Jul 14 00:55:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_OIDCCallbackHandler","TestManagementResource_OIDCCallbackHandler"
"Test cases for TestManagementResource_SAMLCallbackRedirect","9","TestManagementResource_SAMLCallbackRedirect","","Tue Jul 14 00:55:51 UTC 2026","passed","Tue Jul 14 00:55:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLCallbackRedirect","TestManagementResource_SAMLCallbackRedirect"
"","349","renders the Import Query Dialog","ImportQueryDialog","Tue Jul 14 01:01:34 UTC 2026","passed","Tue Jul 14 01:01:34 UTC 2026","","","",""
"Test cases for Test_ConvertAppFederatedIdentityCredential","0","Test_ConvertAppFederatedIdentityCredential","","Tue Jul 14 00:55:29 UTC 2026","passed","Tue Jul 14 00:55:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/Test_ConvertAppFederatedIdentityCredential","Test_ConvertAppFederatedIdentityCredential"
"","979","should render with a full list of multiple tenants and domains","Simple Environment Selector","Tue Jul 14 00:58:37 UTC 2026","passed","Tue Jul 14 00:58:38 UTC 2026","","","",""
"","24","should redirect to nested /file-ingest route if user navigates to an invalid route","Administration","Tue Jul 14 01:02:53 UTC 2026","passed","Tue Jul 14 01:02:53 UTC 2026","","","",""
"Test cases for TestSignRequestSuccess","0","TestSignRequestSuccess","","Tue Jul 14 00:54:52 UTC 2026","passed","Tue Jul 14 00:54:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestSuccess","TestSignRequestSuccess"
"Test cases for TestInt64FromPtr","0","TestInt64FromPtr","","Tue Jul 14 00:55:07 UTC 2026","passed","Tue Jul 14 00:55:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64FromPtr","TestInt64FromPtr"
