"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","accepts a sort and compare function","areArraysSimilar","Tue Dec 23 00:59:31 UTC 2025","passed","Tue Dec 23 00:59:31 UTC 2025","","","",""
"Test cases for TestLoginSuccess","0","TestLoginSuccess","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginSuccess","TestLoginSuccess"
"Test cases for TestBuildErrorResponseConflict","0","TestBuildErrorResponseConflict","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseConflict","TestBuildErrorResponseConflict"
"Test cases for TestResources_DeleteSavedQuery_IDMalformed","1","TestResources_DeleteSavedQuery_IDMalformed","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_IDMalformed","TestResources_DeleteSavedQuery_IDMalformed"
"Test cases for TestConvertComputerToNode","0","TestConvertComputerToNode","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertComputerToNode","TestConvertComputerToNode"
"Test cases for TestInvalidValueError","0","TestInvalidValueError","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestInvalidValueError","TestInvalidValueError"
"","38","should have a .z-nav class","MainNav","Tue Dec 23 00:56:35 UTC 2025","passed","Tue Dec 23 00:56:35 UTC 2025","","","",""
"","294","shows a loading state","AssetGroupMenuItem","Tue Dec 23 00:56:52 UTC 2025","passed","Tue Dec 23 00:56:52 UTC 2025","","","",""
"","200","renders the QuerySearchFilter component","QuerySearchFilter","Tue Dec 23 00:58:04 UTC 2025","passed","Tue Dec 23 00:58:04 UTC 2025","","","",""
"","42","indicates that filters are inactive","AssetGroupEdit","Tue Dec 23 00:56:50 UTC 2025","passed","Tue Dec 23 00:56:50 UTC 2025","","","",""
"Test cases for Test_filterNodesToSearchResult_filterEnvironments","0","Test_filterNodesToSearchResult_filterEnvironments","","Tue Dec 23 00:55:02 UTC 2025","passed","Tue Dec 23 00:55:02 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_filterNodesToSearchResult_filterEnvironments","Test_filterNodesToSearchResult_filterEnvironments"
"","0","should compute offset vertices for bezier curves at a given intersection","bezier","Tue Dec 23 01:00:40 UTC 2025","passed","Tue Dec 23 01:00:40 UTC 2025","","","",""
"Test cases for TestWriteAndValidateJSON","3","TestWriteAndValidateJSON","","Tue Dec 23 00:55:05 UTC 2025","passed","Tue Dec 23 00:55:05 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/TestWriteAndValidateJSON","TestWriteAndValidateJSON"
"Test cases for TestDetectBOMEncoding","1","TestDetectBOMEncoding","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestDetectBOMEncoding","TestDetectBOMEncoding"
"Test cases for TestWriteResultJson","0","TestWriteResultJson","","Tue Dec 23 00:55:07 UTC 2025","passed","Tue Dec 23 00:55:07 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestWriteResultJson","TestWriteResultJson"
"Test cases for TestMarshalInt64","0","TestMarshalInt64","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalInt64","TestMarshalInt64"
"Test cases for TestAssetGroupMembers_Filter_NotEquals","0","TestAssetGroupMembers_Filter_NotEquals","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestAssetGroupMembers_Filter_NotEquals","TestAssetGroupMembers_Filter_NotEquals"
"","79","calls getAssetGroupTags for topTagId","DetailsRoot","Tue Dec 23 00:59:55 UTC 2025","passed","Tue Dec 23 00:59:55 UTC 2025","","","",""
"Test cases for TestInt64Scan","0","TestInt64Scan","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64Scan","TestInt64Scan"
"Test cases for TestResources_UpdateSavedQuery_InvalidBody","0","TestResources_UpdateSavedQuery_InvalidBody","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_InvalidBody","TestResources_UpdateSavedQuery_InvalidBody"
"","117","renders enabled prop when flag is enabled","FeatureFlag","Tue Dec 23 00:58:48 UTC 2025","passed","Tue Dec 23 00:58:48 UTC 2025","","","",""
"","59","initializes search tab to node search if the exploreSearchTab is not a supported tab name on first render","ExploreSearch sets searchType on tab changing","Tue Dec 23 01:00:25 UTC 2025","passed","Tue Dec 23 01:00:25 UTC 2025","","","",""
"","11","allows you to update the list of selected filters, only updating the url after calling the apply function","usePathfindingFilters","Tue Dec 23 00:59:18 UTC 2025","passed","Tue Dec 23 00:59:18 UTC 2025","","","",""
"","0","returns false if arrays have different elements","areArraysSimilar","Tue Dec 23 00:59:31 UTC 2025","passed","Tue Dec 23 00:59:31 UTC 2025","","","",""
"Test cases for Test_SetNodeProperties","0","Test_SetNodeProperties","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_SetNodeProperties","Test_SetNodeProperties"
"","31","renders the title passed via title prop","ColumnHeaders","Tue Dec 23 00:58:56 UTC 2025","passed","Tue Dec 23 00:58:56 UTC 2025","","SortableHeader","",""
"Test cases for TestFilterStructSlice","0","TestFilterStructSlice","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestFilterStructSlice","TestFilterStructSlice"
"Test cases for TestDatabase_NullUUID","0","TestDatabase_NullUUID","","Tue Dec 23 00:54:59 UTC 2025","passed","Tue Dec 23 00:54:59 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestDatabase_NullUUID","TestDatabase_NullUUID"
"","300","should render an SavedQueryPermissions component","SaveQueryDialog","Tue Dec 23 00:55:55 UTC 2025","passed","Tue Dec 23 00:55:55 UTC 2025","","","",""
"Test cases for TestAddOrderByToNeo4jQuery_NoOrderByClause","0","TestAddOrderByToNeo4jQuery_NoOrderByClause","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddOrderByToNeo4jQuery_NoOrderByClause","TestAddOrderByToNeo4jQuery_NoOrderByClause"
